Initial Text,Completed Text
"A small child wearing a pink hat, blue jeans, and",white shirt standing in a grass field.
A rock singer in a pink shirt and jeans with chains of beads,is standing on the stage singing into the microphone.
Four people performing,music outdoors.
Four people are depicted,inside a cathedral-like building.
The girl runs,near a pond.
A young child,is finger-painting.
"A sitting crowd is watching one man, wearing a red shirt and black pants and","suspenders, lift another man, wearing a mask, into the air."
people in a school cafeteria with a boy in,the foreground wearing yellow and brown stripes
"a rock climber, climbing an extremely steep rust-colored rock wall, and he is wearing a bright orange hard","hat with a light attached to it in the front, sunglasses, and jeans."
A person working with yarn in,the back of a shop.
A woman wearing a yellow,jacket traversing on skis.
"A man in a red, plaid jacket, walking",in front of a brick wall.
A orchestra performing,a piece.
A young boy wearing blue is holding a blue baseball bat,and holding a white ball in his hand.
A group of women in a red and black outfit with a,red star on the helmet skating in a competition.
A man holding a skateboard against a blue sky with,white clouds with buildings in the background.
Two elderly men are crouched,against a blue wall.
A woman is sitting in,a room and painting.
Young people sit on the grass near,a crooked tree with pink blossoms.
A man with plaid pants is walking next to,a woman and carrying a unicycle.
A girl is climbing a rock,while someone is filming her.
A couple watches a,boat against a skyline.
A female dressed in black is holding a walking stick in the far right of an image taken,inside a building while 4 males watch her and read from a script.
People dressed in bright colored,tunics are waving flags.
Two people kiss,near a crowd.
A young child playing with a toy,while laying on the floor.
A child with his mouth on,a red plastic toy.
multiple female runners are preparing,to start a race.
A young couple are,speaking with another woman.
Two men in reflective apparel pull a hose,over the side of a structure.
Man in uniform waiting,on a wall.
The little girl wearing a red shirt,is walking through the grass.
Man holding a beer throws a basketball,where a little girl is playing.
A woman is wearing,a peacock costume.
Two dogs are running around in,a fenced in area.
A man in a flower,patterned shirt is bowling.
A cadet is being taught how to,properly stretch his right leg.
A baseball player sliding to,catch a ground ball.
Two kids are wrestling,on a white sofa.
a young girl uses,two hula hoops.
A couple is dancing in a,competition wearing pink attire.
Dog sleeps outside on the cemented,street in asian country.
An older guitar player is,playing guitar on stage.
a girl is looking at a,stall full of dolls.
African-American man with a,poster in Times Square.
One boy in a blue shirt and jeans on a bicycle jumping,over concrete steps in front of a building.
Three girls in western hats,dance for a band.
A woman wearing ear pieces is serving a beverage,to a woman carrying two bags.
An older person and a young child walking together,in front of a large building.
Big yellow dog rolling around,on the green lawn.
A white dog carries a white,ball in its mouth.
People running away from,seagulls on the beach.
A little boy does a,cartwheel on the beach.
A little boy is playing in,some water at a waterpark.
A shot of bicyclists in a race with,the background blurred by their speed.
The people passing by in the,parade are wearing yellow jackets.
A man in jeans and a button up shirt,is presenting something on a projector screen.
Woman on a hill by a,white cross overlooking a beach.
A wrecked ambulance,is being towed.
Collie making a jump,over a yellow hurdle.
"A group of five people, four with violins,","one with a clarinet, play music."
Two women are sucking on,lollipops in a room.
Child in orange jacket and a,helmet playing in the snow.
old men in striped,shirts holding flags
Fresh seafood market,displays live crabs.
several people are ascending a set,of stairs while holding umbrellas.
an old man with a blue hat and sunglasses,stands by a chain link fence.
A guy on a skateboard performs a,trick in front of a crowd.
A group of people sitting and,sleeping outside a building.
Two kids playing,on playground equipment.
A person in black has just,stepped off of the escalator.
A group of people,walking through the woods.
A soldier stands in,front of a portrait.
A diving taking,off his gear.
"While riding in a bus, one person",has their arm around another.
Two women sharing a,glass of beer.
Two women in animal print,costumes playing the drums.
Carts are being driven,through a crowded street.
A woman in a flowered sundress walks her,white chihuahua past a green building.
A busy,international airport.
Several men are sitting around a,dinner table having separate conversations.
A young blond girl in a,pink dress rides the carousal.
A Romanian gymnast does a handstand,on the still rings.
Some very talented skateboarders,having a great ride.
"Three young girls, who look like sisters, are all holding",pink and blue baseball gloves and a baseball.
A group of four,friends meets outdoors.
Some men are working on a scaffolding,at the front of a building.
Marathon runners on a road in,front of a mountain ridge.
"In front of a laundromat and The Gulch of San Francisco, there is a man down on the","ground, a man on a cellphone, and a couple of women walking by."
A couple holding on each other,climbing a sand dune.
A woman in a red shirt with dark hair is sitting in a,"chair, smiling at a girl wearing a Hello Kitty t-shirt."
a group of young people excited,in a group gathering.
Men playing in a soccer game,in front of a crowd.
A woman in hospital scrubs jumps on the sidewalk as,a second woman in hospital scrubs watches.
"Three people are playing soccer, one wearing orange, two wearing blue of which",one is in the midst of jumping in the air.
A crowd of people watching a balloon,twister on a beautiful day.
