Xi,Xj,model
The two large people are sitting,"on the couch, taking up most of the space",llama-3.1-70b-instruct
"A man is sitting, with his skateboard, at the bottom of a skateboard","ramp, staring up at the steep incline with a mix of fear and determination",llama-3.1-70b-instruct
Woman is eating something,that looked like a delicious sandwich,llama-3.1-70b-instruct
Man wearing a blue,shirt was standing alone at the bus stop,llama-3.1-70b-instruct
A man wearing a yellow backpack is carrying a,large suitcase and walking quickly towards the train station,llama-3.1-70b-instruct
"While a man's mowing lawn, a man and a woman",were arguing loudly in their front yard about whose turn it was to do the household chores.,llama-3.1-70b-instruct
Three young boys are crouching,"behind the old wooden fence, trying to sneak a peek at the neighbor's garden.",llama-3.1-70b-instruct
"Lumberjack in his security red jumpsuit, gets stylish with his orange",hard hat and matching sunglasses,llama-3.1-70b-instruct
"A man, dressed in white and wearing a","gold watch, walked into the crowded room with confidence",llama-3.1-70b-instruct
Three children rolling down a green hillside towards a parking lot where,their parents were waiting with a picnic lunch spread out on a colorful blanket,llama-3.1-70b-instruct
A dog with a blue blanket,"was wandering around the neighborhood, looking for its owner",llama-3.1-70b-instruct
A group is looking,for a new lead singer to replace their current vocalist.,llama-3.1-70b-instruct
An Asian woman is,"walking down the street, wearing a traditional kimono.",llama-3.1-70b-instruct
A tan dog jumps across some,the green grass in the park,llama-3.1-70b-instruct
2 young men in white tank tops and,"were standing outside the convenience store, eyeing the crowd suspiciously",llama-3.1-70b-instruct
"An Asian woman, shown from behind, plays what appears to be","a traditional stringed instrument, possibly a guqin or a shamisen.",llama-3.1-70b-instruct
A young man in shorts wearing,a bright yellow jersey and holding a soccer ball was running down the street.,llama-3.1-70b-instruct
A man with two large bags is sitting in the middle of a,"deserted highway, looking utterly lost and confused",llama-3.1-70b-instruct
Boy skating across,the frozen lake lost his balance and fell.,llama-3.1-70b-instruct
Multiple martial artist's pose with their,hands clasped together in a respectful bow,llama-3.1-70b-instruct
A gray dog runs along side a pool while,its owner is swimming laps.,llama-3.1-70b-instruct
Two young boys and an elderly male,were stranded on the deserted island for weeks,llama-3.1-70b-instruct
A man with dreadlocks poses with an oddly dressed,woman who is holding a giant stuffed animal,llama-3.1-70b-instruct
A group of people putting on layers,"of warm clothing and preparing for a long, cold winter ahead.",llama-3.1-70b-instruct
A person is emerging onto a,"new stage of life, full of possibilities and challenges.",llama-3.1-70b-instruct
A blond man in a yellow and black uniform grabs another blond man,and slams him to the mat in the intense wrestling match.,llama-3.1-70b-instruct
Three girls in a store one of,them accidentally broke a vase,llama-3.1-70b-instruct
A couple hugging,each other tightly on the beach at sunset.,llama-3.1-70b-instruct
A man standing in snow in front,"of a frozen lake, staring at the breathtaking winter landscape.",llama-3.1-70b-instruct
A man on a snowboard,"was speeding down the mountain, performing tricks and stunts along the way",llama-3.1-70b-instruct
"A little dark-skinned boy in a yellow,",tattered shirt was standing alone on the corner of the street.,llama-3.1-70b-instruct
a group of girls from the same,school were planning a surprise birthday party for their friend,llama-3.1-70b-instruct
"WWII Victory Day parade with soldier marching down street,",was a grand spectacle that showcased the country's military might and unity,llama-3.1-70b-instruct
A person with a bright orange wig and teal dress,stood out in the crowd at the music festival,llama-3.1-70b-instruct
People walking up and,down the stairs were creating a lot of noise,llama-3.1-70b-instruct
A older man in white shirt,was walking slowly towards the park bench,llama-3.1-70b-instruct
A man in a black coat is setting up,a makeshift camp on the outskirts of town.,llama-3.1-70b-instruct
Three boys with blue shirts,were standing at the entrance of the school.,llama-3.1-70b-instruct
A man and a woman with three,children were struggling to make ends meet.,llama-3.1-70b-instruct
A blue building on fire with black smoke pouring,out of the windows was a terrifying sight to behold,llama-3.1-70b-instruct
a woman working on,her laptop in a coffee shop was a common sight in the city.,llama-3.1-70b-instruct
People with umbrellas observe,the raindrops falling gently on the fabric,llama-3.1-70b-instruct
The lady in pink is walking,towards the old oak tree with a mysterious smile on her face,llama-3.1-70b-instruct
A black dog runs,quickly around the corner of the house,llama-3.1-70b-instruct
"a ""The Human Shop"" display in a public area such as a mall or airport, with four people, 3 females and one male, all wearing black with chains around their wrists, two of the females are sitting and","the other two are standing, all staring blankly into space with a sign that reads ""Price: Your Freedom""",llama-3.1-70b-instruct
A class full of college students sit in,"silence, waiting for their professor to begin the lecture.",llama-3.1-70b-instruct
A child lays in the snow next to his,"broken sled, crying in disappointment",llama-3.1-70b-instruct
A man jumping off of a,a skyscraper without a parachute is a surefire way to meet a tragic end,llama-3.1-70b-instruct
"A man, woman, and little girl walk along","the beach, enjoying the warm sunset together",llama-3.1-70b-instruct
A man who looks like a cowboy is riding a bucking horse,in a rodeo competition at the state fair,llama-3.1-70b-instruct
A padded skateboarder,wore a helmet and knee pads to protect himself from injuries,llama-3.1-70b-instruct
A boy with a,rare medical condition was admitted to the hospital for further treatment,llama-3.1-70b-instruct
"White, brown, and black dogs running",around the park were a beautiful sight,llama-3.1-70b-instruct
A man wearing a hat is,"walking down the street, looking suspicious",llama-3.1-70b-instruct
Workers fixing a,broken water pipe in the middle of the night.,llama-3.1-70b-instruct
A young lady in a bikini walking in,the middle of a busy street caused a stir among the crowd.,llama-3.1-70b-instruct
A man does a flip,when he is extremely happy or excited,llama-3.1-70b-instruct
Boys huddle during,a thunderstorm to stay warm and safe,llama-3.1-70b-instruct
A man in a red,coat was standing suspiciously near the old warehouse,llama-3.1-70b-instruct
A woman displays her excitement by jumping in the air and raising her,"arms in triumph, letting out a loud scream of joy",llama-3.1-70b-instruct
A man in a yellow vest is standing,"on the side of the road, directing traffic with a bright orange cone.",llama-3.1-70b-instruct
A view of,the majestic mountains from the top of the hill was breathtaking,llama-3.1-70b-instruct
A man carries two bundles on a pole balanced over his shoulder,in a traditional way to sell goods at the local market.,llama-3.1-70b-instruct
A cowboy is riding a wild horse but,he's struggling to maintain control of the reins,llama-3.1-70b-instruct
A man dressed in black is,"standing at the edge of the forest, watching us with an eerie gaze",llama-3.1-70b-instruct
Two young women surfing the,waves on the north shore of Oahu.,llama-3.1-70b-instruct
a man in a harness wearing a,parachute was seen jumping out of the plane,llama-3.1-70b-instruct
The lady was digging a deep,hole in her backyard to build a secret underground bunker.,llama-3.1-70b-instruct
"Young girl with short, dark hair wearing a pink",dress and holding a stuffed rabbit walked into the room.,llama-3.1-70b-instruct
A birds-eye view of a person,can be seen from a drone flying high above them.,llama-3.1-70b-instruct
A baby is sitting on and,playing with his mother's lap,llama-3.1-70b-instruct
"Two young girls, in a kitchen, wearing aprons over their pajamas are",baking Christmas cookies with their grandmother.,llama-3.1-70b-instruct
Bystanders cheer the closing ceremony,of the Olympics with great enthusiasm and excitement,llama-3.1-70b-instruct
A little boy is swinging on a swing,"in the backyard of his house, laughing with joy",llama-3.1-70b-instruct
A girl and,her best friend were inseparable since childhood,llama-3.1-70b-instruct
"A woman is reading a card while sitting on an end of a couch, while another","woman is sitting on the other end, staring at her with a mixture of curiosity and concern.",llama-3.1-70b-instruct
A woman carried a cake ito the room with three candles as another woman,"began to sing ""Happy Birthday"" in a loud and cheerful voice",llama-3.1-70b-instruct
a group of young children performing,a choreographed dance routine to a popular song,llama-3.1-70b-instruct
A tattoo artist making a,tattoo of a snake on the client's arm was a delicate task that required precision and patience.,llama-3.1-70b-instruct
Two men stand on a pier next,to a serene lake at sunset,llama-3.1-70b-instruct
Child in bathing suite walking,towards the beach with a bucket and shovel in hand,llama-3.1-70b-instruct
A woman in a blue sweater is sitting on,"the park bench, staring at the lake.",llama-3.1-70b-instruct
Five boys are buried,under the rubble of the collapsed building.,llama-3.1-70b-instruct
